#options: 940x489 fps=15/1 timebase=1/15 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=6 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=15 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.06 aq:11.35 tex:76330 mv:7450 misc:108 imb:1829 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:29.39 aq:15.73 tex:115 mv:25 misc:196 imb:1 pmb:3 smb:1825 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:29.39 aq:29.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1829 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:29.39 aq:31.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1829 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:29.39 aq:31.00 tex:0 mv:0 misc:152 imb:0 pmb:0 smb:1829 d:- ref:0 ;
in:7 out:5 type:P dur:2 cpbdur:2 q:28.29 aq:14.56 tex:619 mv:25 misc:212 imb:2 pmb:3 smb:1824 d:- ref:0 ;
in:5 out:6 type:B dur:2 cpbdur:2 q:29.02 aq:31.00 tex:0 mv:4 misc:180 imb:0 pmb:1 smb:1828 d:- ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:28.66 aq:30.00 tex:0 mv:4 misc:164 imb:0 pmb:1 smb:1828 d:- ref:0 ;
in:8 out:8 type:i dur:2 cpbdur:2 q:26.43 aq:10.32 tex:225742 mv:13610 misc:120 imb:1829 pmb:0 smb:0 d:- ref:;
in:12 out:9 type:P dur:2 cpbdur:2 q:29.74 aq:18.24 tex:66910 mv:882 misc:528 imb:151 pmb:71 smb:1607 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:29.74 aq:13.00 tex:154 mv:461 misc:417 imb:9 pmb:297 smb:1523 d:s ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:29.74 aq:21.51 tex:258 mv:478 misc:432 imb:5 pmb:310 smb:1514 d:s ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:29.74 aq:15.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1829 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:29.46 aq:22.23 tex:2236 mv:85 misc:319 imb:1 pmb:23 smb:1805 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:29.60 aq:13.00 tex:11 mv:21 misc:192 imb:1 pmb:2 smb:1826 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:29.67 aq:15.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1829 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:29.53 aq:15.00 tex:4 mv:14 misc:182 imb:0 pmb:3 smb:1826 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:26.18 aq:15.90 tex:10715 mv:238 misc:639 imb:15 pmb:124 smb:1690 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:27.82 aq:26.65 tex:217 mv:31 misc:216 imb:0 pmb:6 smb:1823 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:28.64 aq:26.67 tex:320 mv:31 misc:201 imb:2 pmb:4 smb:1823 d:s ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:27.00 aq:27.29 tex:339 mv:21 misc:184 imb:0 pmb:4 smb:1825 d:- ref:0 ;
in:22 out:21 type:P dur:2 cpbdur:2 q:19.25 aq:9.94 tex:143418 mv:1322 misc:844 imb:165 pmb:554 smb:1110 d:- ref:0 ;
in:21 out:22 type:b dur:2 cpbdur:2 q:22.71 aq:23.29 tex:229 mv:48 misc:195 imb:0 pmb:4 smb:1825 d:- ref:0 ;
in:26 out:23 type:P dur:2 cpbdur:2 q:23.25 aq:10.87 tex:3378 mv:220 misc:290 imb:30 pmb:14 smb:1785 d:- ref:0 ;
in:24 out:24 type:B dur:2 cpbdur:2 q:21.25 aq:14.67 tex:711 mv:149 misc:244 imb:4 pmb:39 smb:1786 d:s ref:0 ;
in:23 out:25 type:b dur:2 cpbdur:2 q:20.25 aq:20.14 tex:351 mv:72 misc:201 imb:0 pmb:7 smb:1822 d:s ref:0 ;
in:25 out:26 type:b dur:2 cpbdur:2 q:22.25 aq:21.44 tex:639 mv:109 misc:220 imb:3 pmb:18 smb:1808 d:- ref:0 ;
in:30 out:27 type:P dur:2 cpbdur:2 q:21.52 aq:12.57 tex:1006 mv:113 misc:305 imb:4 pmb:11 smb:1814 d:s ref:0 ;
in:28 out:28 type:B dur:2 cpbdur:2 q:22.39 aq:13.33 tex:462 mv:28 misc:198 imb:1 pmb:2 smb:1826 d:s ref:0 ;
in:27 out:29 type:b dur:2 cpbdur:2 q:22.82 aq:15.88 tex:253 mv:39 misc:180 imb:0 pmb:3 smb:1826 d:s ref:0 ;
in:29 out:30 type:b dur:2 cpbdur:2 q:21.96 aq:7.00 tex:4 mv:14 misc:182 imb:0 pmb:2 smb:1827 d:- ref:0 ;
in:34 out:31 type:P dur:2 cpbdur:2 q:18.74 aq:7.67 tex:15426 mv:295 misc:351 imb:42 pmb:18 smb:1769 d:s ref:0 ;
in:32 out:32 type:B dur:2 cpbdur:2 q:20.13 aq:4.00 tex:149 mv:168 misc:267 imb:9 pmb:26 smb:1794 d:s ref:0 ;
in:31 out:33 type:b dur:2 cpbdur:2 q:20.83 aq:6.63 tex:743 mv:16 misc:177 imb:0 pmb:14 smb:1815 d:s ref:0 ;
in:33 out:34 type:b dur:2 cpbdur:2 q:19.44 aq:4.00 tex:80 mv:69 misc:219 imb:0 pmb:17 smb:1812 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:17.54 aq:0.37 tex:2625 mv:317 misc:466 imb:1016 pmb:4 smb:809 d:s ref:0 ;
in:36 out:36 type:I dur:2 cpbdur:2 q:20.81 aq:4.07 tex:171441 mv:8001 misc:126 imb:1829 pmb:0 smb:0 d:s ref:;
in:40 out:37 type:P dur:2 cpbdur:2 q:20.45 aq:6.77 tex:17409 mv:506 misc:453 imb:90 pmb:49 smb:1690 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:20.45 aq:4.00 tex:18 mv:81 misc:245 imb:0 pmb:33 smb:1796 d:s ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:20.45 aq:5.00 tex:20 mv:77 misc:239 imb:0 pmb:33 smb:1796 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:20.45 aq:5.00 tex:0 mv:0 misc:168 imb:0 pmb:0 smb:1829 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:19.10 aq:8.74 tex:11955 mv:259 misc:538 imb:17 pmb:82 smb:1730 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:19.78 aq:14.35 tex:2926 mv:204 misc:238 imb:9 pmb:42 smb:1778 d:s ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:20.11 aq:18.92 tex:881 mv:84 misc:227 imb:0 pmb:22 smb:1807 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:19.44 aq:16.47 tex:445 mv:83 misc:240 imb:0 pmb:23 smb:1806 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:17.43 aq:7.94 tex:23519 mv:376 misc:665 imb:17 pmb:126 smb:1686 d:s ref:0 ;
